"oem","model","network_technology","network_2g_bands","network_3g_bands","network_4g_bands","network_5g_bands","network_speed","launch_announced","launch_status","body_dimensions","body_weight","body_sim","display_type","display_size","display_resolution","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_card_slot","memory_internal","main_camera_quad","main_camera_features","main_camera_video","selfie_camera_single","selfie_camera_features","selfie_camera_video","sound_loudspeaker","sound_3.5mm_jack","comms_wlan","comms_bluetooth","comms_gps","comms_nfc","comms_radio","comms_usb","features_sensors","battery_�","battery_charging","misc_colors","misc_price","network_�","body_build","display_protection","display_�","memory_�","misc_models","main_camera_single","misc_sar_eu","misc_sar","main_camera_triple","tests_performance","tests_display","tests_camera","tests_loudspeaker","tests_audio_quality","tests_battery_life","body_�","selfie_camera_�","features_�","battery_stand-by","network_gprs","network_edge","memory_phonebook","memory_call_records","features_messaging","features_games","features_java","battery_talk_time","camera_�","main_camera_five","sound_�","main_camera_dual","battery_music_play","body_keyboard","features_browser","comms_infrared_port","sound_alert_types","features_languages","features_clock","features_alarm"
"Nokia","8.3 5G","GSM / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","LTE","SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A (4CA) Cat18 1200/150 Mbps, 5G 2.4/1.2 Gbps","2020, March 19","Coming soon. Exp. release 2020, July","171.9 x 78.6 x 9 mm (6.77 x 3.09 x 0.35 in)","220 g (7.76 oz)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.81 inches, 112.0 cm (~82.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~386 ppi density)","Android 10.0, Android One","Qualcomm SDM765 Snapdragon 765G (7 nm)","Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)","Adreno 620","microSDXC (dedicated slot)","64GB 6GB RAM, 128GB 8GB RAM","64 MP, f/1.9, (wide), PDAF  12 MP, f/2.2, 13mm (ultrawide), AF  2 MP, (macro)  2 MP, (depth)","Zeiss optics, Dual-LED flash, panorama, HDR","2160p@30fps, 1080p@30fps, gyro-EIS","24 MP, f/2.0, (wide)","Zeiss optics, HDR","1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS","Yes","FM radio","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4500 mAh battery","Fast charging 18W","Polar Night","About 600 EUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nokia","5.3","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","HSDPA 850 / 900 / 1900 / 2100 - Global","1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Global",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, March 19","Available. Released 2020, April 2","164.3 x 76.6 x 8.5 mm (6.47 x 3.02 x 0.33 in)","185 g (6.53 oz)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.55 inches, 103.6 cm (~82.3% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~268 ppi density)","Android 10.0, Android One","Qualcomm SM6125 Snapdragon 665 (11 nm)","Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)","Adreno 610","microSDXC (dedicated slot)","64GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM","13 MP, f/1.8, (wide), PDAF  5 MP, 13mm (ultrawide)  2 MP, (macro)  2 MP, (depth)","LED flash, HDR, panorama","1080p@30fps","8 MP, f/2.0, (wide)",,"1080p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS","Yes","FM radio","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity","Non-removable Li-Po 4000 mAh battery","Normal charging 10W","Cyan, Sand, Charcoal","€ 209.00","1, 3, 5, 8, 40, 41 - India","Glass front (Gorilla Glass 3), plastic back, plastic frame","Corning Gorilla Glass 3","450 nits typ. brightness (advertised)","eMMC 5.1","TA-1234, TA-1223, TA-1227, TA-1229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nokia","1.3","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM","1, 2, 3, 4, 5, 7, 8, 12, 17, 28, 66 - LATAM",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, March 19","Available. Released 2020, April 2","147.3 x 71.2 x 9.4 mm (5.80 x 2.80 x 0.37 in)","155 g (5.47 oz)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.71 inches, 81.4 cm (~77.6% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)","Android 10.0 (Go edition), Android One","Qualcomm QM215 (28 nm)","Quad-core 1.3 GHz Cortex-A53","Adreno 308","microSDXC (dedicated slot)","16GB 1GB RAM",,"LED flash, HDR","720p@30fps","5 MP",,"720p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS",,"FM radio","microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Removable Li-Po 3000 mAh battery",,"Cyan, Charcoal, Sand","€ 106.14 / £ 79.95","1, 3, 5, 7, 8, 20, 28 - Global","Glass front, plastic back, plastic frame",,"400 nits typ. brightness","eMMC 5.1",,"8 MP, AF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nokia","C2","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","HSDPA 850 / 900 / 2100 - Africa, ME, APAC","1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Africa, ME, APAC",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2020, March 16","Available. Released 2020, March 22","154.8 x 75.6 x 8.9 mm (6.09 x 2.98 x 0.35 in)","161 g (5.68 oz)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 83.8 cm (~71.6% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~282 ppi density)","Android 9.0 Pie (Go edition)","Unisoc (28nm)","Quad-core 1.4 GHz",,"microSDXC (dedicated slot)","16GB 1GB RAM",,"LED flash, HDR","720p@30fps","5 MP","LED flash","720p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,"FM radio","microUSB 2.0","Accelerometer, proximity","Removable Li-Ion 2800 mAh battery",,"Cyan, Black",,"1, 3, 5, 8, 28, 38, 40, 41 - Saudi Arabia","Glass front, plastic back, plastic frame",,,"eMMC 5.1",,"5 MP, f/2.2, AF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nokia","C1","GSM / HSPA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 1900 / 2100",,,"HSPA 21.1/5.76 Mbps","2019, December 11","Available. Released 2020, December 11","147.6 x 71.4 x 8.7 mm (5.81 x 2.81 x 0.34 in)","155 g (5.47 oz)","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm (~72.7% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~197 ppi density)","Android 9.0 Pie (Go edition)",,"Quad-core 1.3 GHz",,"microSDXC (dedicated slot)","16GB 1GB RAM",,"LED flash","720p@30fps","5 MP","LED flash","720p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,"FM radio","microUSB 2.0","Accelerometer, proximity","Removable Li-Ion 2500 mAh battery",,"Black, Red","About 50 EUR",,"Glass front, plastic back, plastic frame","Yes",,"eMMC 5.1","TA-1165","5 MP, f/2.4, AF","0.40 W/kg (head)     1.30 W/kg (body)   �",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nokia","2.3","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only)","HSDPA 850 / 900 / 2100 - Global","1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Global",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, December 05","Available. Released 2019, December 19","157.7 x 75.4 x 8.7 mm (6.21 x 2.97 x 0.34 in)","183 g (6.46 oz)","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm (~80.7% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)","Android 9.0 (Pie), upgradable to Android 10.0; Android One","Mediatek MT6761 Helio A22 (12 nm)","Quad-core 2.0 GHz Cortex-A53","PowerVR GE8320","microSDXC (uses shared SIM slot)","32GB 2GB RAM",,"LED flash, HDR, panorama","1080p@30fps","5 MP, f/2.4",,,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,"FM radio","microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Non-removable Li-Po 4000 mAh battery",,"Cyan Green, Sand, Charcoal","$ 129.00 / € 116.91 / £ 99.99 / ₹ 7,998","1, 3, 5, 8, 40, 41 - India","Glass front, plastic back, plastic frame",,"Always-on display","eMMC 5.1","TA-1211, TA-1214, TA-1206, TA-1209","13 MP, f/2.2, 1/3.1"", 1.12µm, AF  2 MP, (depth)","0.41 W/kg (head)     1.40 W/kg (body)   �","0.81 W/kg (head)     0.86 W/kg (body)   �",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nokia","7.2","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 2100 - ROW","1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - ROW",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps or LTE Cat4 150/50 Mbps","2019, September 05","Available. Released 2019, September 23","159.9 x 75.2 x 8.3 mm (6.30 x 2.96 x 0.33 in)","180 g (6.35 oz)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 99.1 cm (~82.4% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~400 ppi density)","Android 9.0 (Pie), upgradable to Android 10.0; Android One","Qualcomm SDM660 Snapdragon 660 (14 nm)","Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)","Adreno 512","microSDXC (dedicated slot)","64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",,"Zeiss optics, LED flash, panorama, HDR","2160p@30fps, 1080p@30fps (gyro-EIS)","20 MP, f/2.0, (wide), 1/3"", 0.9µm","Zeiss optics, HDR","1080p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, EDR, LE, aptX","Yes, with A-GPS, GLONASS, GALILEO, BDS","Yes (excl. India)","FM radio","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 3500 mAh battery","Standard charging 10W","Cyan Green, Charcoal, Ice","$ 285.50 / € 249.00 / £ 219.85 / ₹ 15,999","1, 3, 5, 8, 40, 41 - IN","Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), plastic frame","Corning Gorilla Glass 3","HDR10  Always-on display","eMMC 5.1","TA-1193, TA-1178, TA-1196, TA-1181",,"0.99 W/kg (head)     1.44 W/kg (body)   �","1.15 W/kg (head)     0.90 W/kg (body)   �","48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF  8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm  5 MP, f/2.4, (depth)","AnTuTu: 139495 (v7), 164484 (v8)  GeekBench: 5440 (v4.4), 1398 (v5.1)  GFXBench: 8.1fps (ES 3.1 onscreen)","Contrast ratio: 1342:1 (nominal)","Photo / Video","-29.6 LUFS (Average)","Noise -93.0dB / Crosstalk -93.4dB","Endurance rating 69h",,,,,,,,,,,,,,,,,,,,,,,,
"Nokia","6.2","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 2100 - ROW","1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - ROW",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, September 05","Available. Released 2019, October 17","159.9 x 75.1 x 8.3 mm (6.30 x 2.96 x 0.33 in)","180 g (6.35 oz)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 99.1 cm (~82.5% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~400 ppi density)","Android 9.0 (Pie), upgradable to Android 10.0; Android One","Qualcomm SDM636 Snapdragon 636 (14 nm)","Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver)","Adreno 509","microSDXC (dedicated slot)","32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",,"LED flash, panorama, HDR","2160p@30fps, 1080p@30fps","8 MP, f/2.0, 1/4"", 1.12µm","HDR","1080p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, EDR, LE, aptX","Yes, with A-GPS, GLONASS, GALILEO, BDS","Yes (excl. India)","FM radio","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 3500 mAh battery","Standard charging 10W","Ceramic Black, Ice","$ 244.00 / € 179.00 / £ 178.35 / ₹ 13,399","1, 3, 5, 8, 40, 41 - IN","Glass front (Gorilla Glass 3), glass back (Gorilla Glass 3), plastic frame","Corning Gorilla Glass 3","HDR10  Always-on display","eMMC 5.1","TA-1200, TA-1198, TA-1201, TA-1187",,"0.97 W/kg (head)     1.42 W/kg (body)   �","1.04 W/kg (head)     1.05 W/kg (body)   �","16 MP, f/1.8, 27mm (wide), 1.0µm, PDAF  8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm  5 MP, f/2.4, (depth)","AnTuTu: 114947 (v7), 140736 (v8)  GeekBench: 4882 (v4.4)  GFXBench: 5.7fps (ES 3.1 onscreen)","Contrast ratio: 1525:1 (nominal)","Photo / Video","Voice 65dB / Noise 70dB / Ring 79dB","Noise -91.0dB / Crosstalk -94.8dB","Endurance rating 73h",,,,,,,,,,,,,,,,,,,,,,,,
"Nokia","800 Tough","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","HSDPA 850 / 900 / 2100","1, 3, 5, 7, 8, 20 - EU",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, September 05","Available. Released 1919, September 05","145.4 x 62.1 x 16.1 mm (5.72 x 2.44 x 0.63 in)","161 g (5.68 oz)","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","TFT, 256K colors","2.4 inches, 17.8 cm (~19.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","KaiOS","Qualcomm MSM8905 Snapdragon 205 (28 nm)","Dual-core (2x1.1 GHz Cortex-A7)","Adreno 304","microSDHC (uses shared SIM slot)","4GB 512MB",,"LED flash","Yes",,,,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",,"FM radio","microUSB 2.0","V1","Non-removable Li-Ion 2100 mAh battery",,"Black Steel, Desert Sand","€ 106.99 / £ 109.99","1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41 - MENA, APAC, GCR",,,,"eMMC 4.5","TA-1189, TA-1186, TA-1180, TA-1176","2 MP","1.46 W/kg (head)     1.76 W/kg (body)   �",,,,,,,,,"IP68 water resistant (up to 1.5m for 30 mins)  MIL-STD-810G compliant  Flashlight","No","SNS applications  MP4/H.264 player  MP3/WAV/AAC player  Organizer  Voice memo  Predictive text input","Up to 1032 h (3G)",,,,,,,,,,,,,,,,,,,,
"Nokia","2720 Flip","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)","HSDPA 850 / 900 / 2100","1, 3, 5, 7, 8, 20 - EU",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, September 05","Available. Released 2019, September 05","192.7 x 54.5 x 11.6 mm (7.59 x 2.15 x 0.46 in)","118 g (4.16 oz)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","TFT, 256K colors","2.8 inches, 24.3 cm (~23.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)","KaiOS","Qualcomm MSM8905 Snapdragon 205 (28 nm)","Dual-core (2x1.1 GHz Cortex-A7)","Adreno 304","microSDHC (dedicated slot)","4GB 512MB",,"LED flash","Yes",,,,"Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",,"FM radio","microUSB 2.0","V1","Removable Li-Ion 1500 mAh battery (BL-6V)",,"Black, Gray, Red","$ 126.50 / € 96.22 / £ 64.90","1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41 - MENA, APAC, GCR",,,"Second external TFT display, 240 x 240 pixels, 1.3 inches","eMMC 4.5","TA-1175, TA-1173, TA-1170, TA-1168","2 MP","1.03 W/kg (head)     1.69 W/kg (body)   �","0.87 W/kg (head)     1.10 W/kg (body)   �",,,,,,,,,"No","SNS applications  MP4/H.264 player  MP3/WAV/AAC player  Organizer  Voice memo  Predictive text input","Up to 700 h (3G)",,,,,,,,,,,,,,,,,,,,
"Nokia","220 4G","GSM / LTE","GSM 900 / 1800 - SIM 1 & SIM 2 (dual-SIM model only)",,"1, 3, 5, 7, 8, 20",,"LTE Cat1 10/5 Mbps","2019, July 24","Available. Released 2019, July 24","121.3 x 52.9 x 13.4 mm (4.78 x 2.08 x 0.53 in)","86.5 g (3.03 oz)","Single SIM (Nano-SIM) or Dual SIM (Mini-SIM, dual stand-by)","TFT, 256K colors","2.4 inches, 17.8 cm (~27.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,,"microSDHC (dedicated slot)","24MB 16MB RAM",,"LED flash","320p@15fps",,,,"Yes","Yes","No","4.2","No",,"Stereo FM radio, RDS","microUSB 2.0","V1","Removable Li-Ion 1200 mAh battery",,"Blue, Black","About 40 EUR",,,,,,"TA-1155, TA-1171, TA-1148","0.3 MP","1.39 W/kg (head)     1.75 W/kg (body)   �","1.42 W/kg (head)     1.13 W/kg (body)   �",,,,,,,,,"No","SNS applications  MP4/H.264 player  MP3/WAV/AAC player  Organizer  Voice memo  Predictive text input","Up to 648 h","Up to 85.6 kbps","No","500 entries","Yes","SMS(threaded view), MMS, IM","Yes",,"Up to 6 h 18 min",,,,,,,,,,,,
"Nokia","110 (2019)","GSM","GSM 900 / 1800 - SIM 1 & SIM 2",,,,,"2019, September","Available. Released 2019, September","115.2 x 49.9 x 14.3 mm (4.54 x 1.96 x 0.56 in)","75 g (2.65 oz)","Dual SIM (Mini-SIM, dual stand-by)","TFT, 65K colors","1.77 inches, 9.7 cm (~16.9% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~113 ppi density)",,,,,"microSDHC","4MB",,,"Yes",,,,"Yes","Yes","No","No","No",,"FM radio","microUSB 2.0","V1","Removable Li-Ion 800 mAh battery",,"Ocean Blue, Pink, Black","About 20 EUR",,,,,,"TA-1192","QVGA","1.23 W/kg (head)     1.19 W/kg (body)   �",,,,,,,,,"Flashlight","No","MP3 player","Up to 444 h","No","No","Yes","Yes","SMS","Yes","No",,,,,,,,,,,,,
"Nokia","105 (2019)","GSM","GSM 900 / 1800 - SIM 1 & SIM 2 (dual-SIM model only)",,,,,"2019, July","Available. Released 2019, September","119 x 49.2 x 14.4 mm (4.69 x 1.94 x 0.57 in)","73 g (2.57 oz)","Dual SIM (Mini-SIM, dual stand-by)","TFT, 65K colors","1.77 inches, 9.7 cm (~16.6% screen-to-body ratio)","120 x 160 pixels, 4:3 ratio (~113 ppi density)",,,,,"No","4MB 4MB RAM",,,,,,,"Yes","Yes","No","No","No",,"FM radio","microUSB 1.1 (charging only)","V1","Removable Li-Ion 800 mAh battery",,"Black, Blue, Pink","About 10 EUR",,,,,,"TA-1203, TA-1174, TA-1010, TA-1034",,"1.50 W/kg (head)     1.38 W/kg (body)   �",,,,,,,,,"Flashlight",,,"Up to 619 h","No","No","Yes","Yes","SMS","Yes","No","Up to 14 h 24 min","No",,,,,,,,,,,
"Nokia","3.1 C","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1700(AWS) / 1900","2, 4, 5, 12, 14, 29, 30",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, June","Available. Released 2019, June","152.7 x 71.9 x 9.4 mm (6.01 x 2.83 x 0.37 in)","156 g (5.50 oz)","Nano-SIM","IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm (~69.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Android 9.0 (Pie)","Qualcomm SDM429 Snapdragon 429 (12 nm)","Quad-core 1.8 GHz Cortex-A53","Adreno 504","microSDXC (dedicated slot)","32GB 2GB RAM",,"LED flash, HDR, panorama","1080p@30fps","5 MP, f/2.2","HDR","720p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,"FM radio","2.0, Type-C 1.0 reversible connector","Accelerometer, gyro, proximity","Non-removable Li-Ion 2990 mAh battery","Standard charging 10W","White",,,,,,"eMMC 5.1","TA-1140","8 MP, f/2.0, AF",,"1.11 W/kg (head)     0.81 W/kg (body)   �",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nokia","3.1 A","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1700(AWS) / 1900","2, 4, 5, 12, 14, 29, 30",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, June","Available. Released 2019, June","152.7 x 71.9 x 9.4 mm (6.01 x 2.83 x 0.37 in)","156 g (5.50 oz)","Nano-SIM","IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm (~69.8% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Android 9.0 (Pie)","Qualcomm SDM429 Snapdragon 429 (12 nm)","Quad-core 1.8 GHz Cortex-A53","Adreno 504","microSDXC (dedicated slot)","32GB 2GB RAM",,"LED flash, HDR, panorama","1080p@30fps","5 MP, f/2.2","HDR","720p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,"FM radio","2.0, Type-C 1.0 reversible connector","Accelerometer, gyro, proximity","Non-removable Li-Ion 2990 mAh battery","Standard charging 10W","Black",,,,,,"eMMC 5.1","TA1140","8 MP, f/2.0, AF",,"1.11 W/kg (head)     0.81 W/kg (body)   �",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nokia","2.2","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual SIM model only)","HSDPA 850 / 900 / 2100 - APAC, EMEA, India","1, 3, 5, 7, 8, 20, 38, 40 - APAC, EMEA",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2019, June 06","Available. Released 2019, June 11","146 x 70.6 x 9.3 mm (5.75 x 2.78 x 0.37 in)","153 g (5.40 oz)","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.71 inches, 81.4 cm (~79.0% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~295 ppi density)","Android 9.0 (Pie), upgradable to Android 10.0; Android One","Mediatek MT6761 Helio A22 (12 nm)","Quad-core 2.0 GHz Cortex-A53","PowerVR GE8320","microSDXC (uses shared SIM slot)","16GB 2GB RAM, 32GB 3GB RAM",,"LED flash, HDR, panorama","1080p@30fps","5 MP",,"1080p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,"FM radio","microUSB 2.0, USB On-The-Go","Accelerometer, proximity","Removable Li-Ion 3000 mAh battery",,"Steel, Tungsten Black","$ 129.00 / € 83.00 / £ 98.98 / ₹ 5,499","1, 3, 5, 40, 41 - India","Glass front, plastic back, plastic frame",,"Always-on display","eMMC 5.1","TA-1183, TA-1179, TA-1191, TA-1188","13 MP, f/2.2, 1/3.1"", 1.12µm, AF","0.45 W/kg (head)     1.61 W/kg (body)   �","0.43 W/kg (head)     1.37 W/kg (body)   �",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nokia","X71","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 1900 / 2100","1, 3, 5, 7, 8, 28, 38, 40, 41",,"HSPA, LTE-A","2019, April 02","Available. Released 2019, April 17","157.2 x 76.5 x 8 mm (6.19 x 3.01 x 0.31 in)","180 g (6.35 oz)","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.39 inches, 100.9 cm (~83.9% screen-to-body ratio)","1080 x 2316 pixels (~400 ppi density)","Android 9.0 (Pie); Android One","Qualcomm SDM660 Snapdragon 660 (14 nm)","Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)","Adreno 512","microSDXC (uses shared SIM slot)","64GB 6GB RAM, 128GB 6GB RAM",,"Zeiss optics, dual-LED flash, panorama, HDR","2160p@30fps, 1080p@30fps","16 MP, f/2.0, 1/3.1"", 1.0µm",,"1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS",,"FM radio","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 3500 mAh battery","Fast charging 18W","Black","About 290 EUR",,"Glass front, glass back, aluminum frame",,,"eMMC 5.1","TA-1167, TA-1172",,,,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF  8 MP, 13mm (ultrawide), 1/4.0"", 1.12µm  5 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
