"oem","model","network_technology","network_2g_bands","network_3g_bands","network_4g_bands","network_5g_bands","network_speed","launch_announced","launch_status","body_dimensions","body_weight","body_build","body_sim","display_type","display_size","display_resolution","display_protection","display_�","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_card_slot","memory_internal","memory_�","main_camera_quad","main_camera_features","main_camera_video","selfie_camera_single","selfie_camera_features","selfie_camera_video","sound_loudspeaker","sound_3.5mm_jack","comms_wlan","comms_bluetooth","comms_gps","comms_nfc","comms_usb","features_sensors","battery_�","battery_charging","misc_colors","misc_price","network_�","selfie_camera_dual","misc_models","sound_�","main_camera_dual","comms_radio","body_�","main_camera_triple","tests_performance","tests_display","tests_camera","tests_loudspeaker","tests_battery_life","camera_�","misc_sar","misc_sar_eu","tests_audio_quality","main_camera_single","battery_stand-by","battery_talk_time","comms_infrared_port","features_�","network_gprs","network_edge","selfie_camera_�"
"Oppo","Find X2 Neo","GSM / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900","HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","LTE (unspecified)","SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G 3.7/1.6 Gbps","2020, April 15","Coming soon. Exp. release 2020, May","159.4 x 72.4 x 7.7 mm (6.28 x 2.85 x 0.30 in)","171 g (6.03 oz)","Glass front, glass back, aluminum frame","Nano-SIM","AMOLED capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm (~88.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Unspecified","90Hz refresh rate","Android 10.0; ColorOS 7","Qualcomm SDM765 Snapdragon 765G (7 nm)","Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)","Adreno 620","No","256GB 12GB RAM","UFS 2.1","48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF, OIS  13 MP, f/2.4, 53mm (telephoto), 1/3.4"", 1.0µm, PDAF, 2x optical zoom  8 MP, f/2.2, 13mm (ultrawide), 1/3.2"", 1.4µm  2 MP B/W, f/2.4, 1/5.0"", 1.75µm","Dual-LED flash, HDR, panorama","2160p@30fps, 1080p@30/60/120/240fps; gyro-EIS, OIS","44 MP, f/2.0, 26mm (wide), 1/2.65"", 0.7µm","HDR","1080p@30fps","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, GALILEO, BDS","Yes","3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4025 mAh battery","Fast charging 30W, 50% in 20 min (advertised)  VOOC 4.0","Black, Blue","About 720 EUR",,,,,,,,,,,,,,,,,,,,,,,,,
"Oppo","A92s","GSM / CDMA / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 1700(AWS) / 1900 / 2100","LTE","SA/NSA","HSPA 42.2/11.5 Mbps, LTE-A, 5G","2020, April 20","Coming soon. Exp. release 2020, April 29","163.8 x 75.5 x 8.1 mm (6.45 x 2.97 x 0.32 in)","184 g (6.49 oz)",,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.57 inches, 104.2 cm (~84.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~401 ppi density)",,"120Hz refresh rate","Android 10.0; ColorOS 7.0","MediaTek MT6873V Dimensity 800 5G (7 nm)","Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55)","Mali-G57MP4","Unspecified","128GB 6GB RAM, 128GB 8GB RAM","UFS 2.1","48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF  8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm  2 MP, f/2.4, (macro)  2 MP, f/2.4, (depth)","LED flash, HDR, panorama","2160p@30fps, 1080p@30fps, gyro-EIS",,"HDR","1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","Yes","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 3890 mAh battery","Fast charging 18W","Black, Blue/White","About 290 EUR","CDMA 800 & TD-SCDMA","16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm  2 MP, f/2.4, (depth)","PDKM00",,,,,,,,,,,,,,,,,,,,,,
"Oppo","A72","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 1900 / 2100","LTE (unspecified)",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, April 21","Coming soon. Exp. release 2020, May","-","-",,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,,"Android 10.0; ColorOS 7.1","Qualcomm SM6125 Snapdragon 665 (11 nm)","Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)","Adreno 610","microSDXC","128GB 4GB RAM, 128GB 8GB RAM","UFS 2.1","48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF  8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm  2 MP, f/2.4, (macro)  2 MP, f/2.4, (depth)","LED flash, HDR, panorama","2160p@30fps, 1080p@30/60/120fps; gyro-EIS","16 MP, (wide)","HDR","1080p@30fps","Yes, with stereo speakers","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, BDS",,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, proximity, compass","Non-removable Li-Po 5000 mAh battery","Fast charging 18W","Blue, Green",,,,,"24-bit/192kHz audio",,,,,,,,,,,,,,,,,,,,,
"Oppo","A52","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 1900 / 2100","LTE (unspecified)",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, April 20","Available. Released 2020, April 20","-","-",,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",,,"Android 10.0; ColorOS 7.1","Qualcomm SM6125 Snapdragon 665 (11 nm)","Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)","Adreno 610","microSDXC","64GB 4GB RAM, 128GB 8GB RAM","UFS 2.1","12 MP, f/1.8, (wide), PDAF  8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm  2 MP, f/2.4, (macro)  2 MP, f/2.4, (depth)","LED flash, HDR, panorama","2160p@30fps, 1080p@30/60/120fps; gyro-EIS","8 MP","HDR","1080p@30fps","Yes, with stereo speakers","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, BDS",,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (side-mounted), accelerometer, proximity, compass","Non-removable Li-Po 5000 mAh battery","Fast charging 18W","Black, Blue","About 210 EUR",,,,"24-bit/192kHz audio",,,,,,,,,,,,,,,,,,,,,
"Oppo","A12","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 2100","1, 3, 5, 8, 38, 40, 41",,"HSPA, LTE-A","2020, April 20","Available. Released 2020, April 20","155.9 x 75.5 x 8.3 mm (6.14 x 2.97 x 0.33 in)","165 g (5.82 oz)","Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.22 inches, 96.6 cm (~82.0% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)","Corning Gorilla Glass 3","450 nits typ. brightness","Android 9.0 (Pie); ColorOS 6.1","Mediatek MT6765 Helio P35 (12nm)","Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)","PowerVR GE8320","microSDXC","32GB 3GB RAM, 64GB 4GB RAM","eMMC 5.1",,"LED flash, HDR, panorama","1080p@30fps","5 MP, f/2.0, 1/5"", 1.12µm","HDR",,"Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, BDS",,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4230 mAh battery",,"Blue, Black","About 150 EUR",,,"CPH2083, CPH2077",,"13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF  2 MP, f/2.4, (depth)","FM radio",,,,,,,,,,,,,,,,,,,
"Oppo","Find X2 Lite","GSM / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66","1, 3, 5, 7, 28, 40, 78 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G (1.9 Gbps DL)","2020, April 20","Coming soon. Exp. release 2020, May","160.3 x 74.3 x 8 mm (6.31 x 2.93 x 0.31 in)","180 g (6.35 oz)","Glass front (Gorilla Glass 5), glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.4 inches, 100.4 cm (~84.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~408 ppi density)","Corning Gorilla Glass 5","430 nits typ. brightness (advertised)","Android 10.0; ColorOS 7","Qualcomm SDM765 Snapdragon 765G (7 nm)","Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)","Adreno 620","No","128GB 8GB RAM","UFS 2.1","48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF  8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm  2 MP B/W, f/2.4, 1/5.0"", 1.75µm  2 MP, f/2.4, (depth)","LED flash, HDR, panorama","2160p@30fps, 1080p@30/60fps; gyro-EIS","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm","HDR","1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Yes","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4025 mAh battery","Fast charging 30W, 50% in 20 min (advertised)  VOOC 4.0","Moonlight Black, Pearl White","About 500 EUR",,,"CPH2005",,,,,,,,,,,,,,,,,,,,,,
"Oppo","Ace2","GSM / CDMA / HSPA / EVDO / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 34, 38, 39, 40, 41 - China","1, 3, 41, 78, 79 SA/NSA - China","HSPA, LTE-A","2020, April 13","Available. Released 2020, April 20","160 x 75.4 x 8.6 mm (6.30 x 2.97 x 0.34 in)","186 g (6.56 oz)","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.55 inches, 103.6 cm (~85.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)","Corning Gorilla Glass 5","500 nits typ. brightness (advertised)  HDR10+  90Hz refresh rate","Android 10.0; ColorOS 7.1","Qualcomm SM8250 Snapdragon 865 (7 nm+)","Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)","Adreno 650","No","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","UFS 3.0","48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF  8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm, AF  2 MP B/W, (depth)  2 MP, (depth)","LED flash, HDR, panorama","2160p@30/60fps, 1080p@30/60/240fps; gyro-EIS","16 MP, f/2.4, 29mm (wide), 1/3.1"", 1.0µm","HDR","1080p@30fps","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS","Yes","2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4000 mAh battery","Fast charging 65W, 100% in 30 min (advertised)  SuperVOOC 2.0  Fast wireless charging 40W, 100% in 56 min (advertised)  Wireless reverse charging 10W","Aurora Silver, Moon Rock Grey, Fantasy Purple","$ 779.00","CDMA2000 1xEV-DO",,"PDHM00",,,,,,,,,,,,,,,,,,,,,,
"Oppo","A12e","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 2100","1, 3, 5, 7, 8, 38, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","2020, April 3","Coming soon. Exp. release 2020, May","156.2 x 75.6 x 8.2 mm (6.15 x 2.98 x 0.32 in)","168 g (5.93 oz)","Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm (~81.2% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)",,,"Android 8.1 (Oreo); ColorOS 5.1","Qualcomm SDM450 Snapdragon 450 (14 nm)","Octa-core 1.8 GHz Cortex-A53","Adreno 506","microSDXC (dedicated slot)","64GB 3GB RAM","eMMC 5.1",,"LED flash, HDR, panorama","1080p@30fps","8 MP, f/2.2",,"1080p@30fps","Yes","Yes","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Yes, with A-GPS",,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass","Non-removable Li-Ion 4230 mAh battery",,"Red, Dark Purple",,,,"CPH1853",,"13 MP, f/2.2, AF  2 MP, f/2.4, (depth)","FM radio",,,,,,,,,,,,,,,,,,,
"Oppo","Reno3","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 2100","1, 3, 5, 7, 8, 38, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, March 17","Coming soon. Exp. release 2020, May","160.2 x 73.3 x 7.9 mm (6.31 x 2.89 x 0.31 in)","170 g (6.00 oz)",,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.4 inches, 98.9 cm (~84.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~411 ppi density)",,,"Android 10.0; ColorOS 7","Mediatek MT6779 Helio P90 (12 nm)","Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55)","PowerVR GM9446","microSDXC (uses shared SIM slot)","128GB 8GB RAM","UFS 2.1","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF  13 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0µm, 2x optical zoom, PDAF  8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm  2 MP B/W, f/2.4, 1/5.0"", 1.75µm","LED flash, HDR, panorama","2160p@30fps, 1080p@30/60fps; gyro-EIS","44 MP, f/2.4, 26mm (wide), 1/2.8"", 0.8µm","HDR","1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,"2.0, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4025 mAh battery","Fast charging 30W, 50% in 30 min, 100% in 73 min (advertised)  VOOC 3.0","Midnight Black, Aurora Blue",,,,"CPH2043","24-bit/192kHz audio",,,,,,,,,,,,,,,,,,,,,
"Oppo","Find X2 Pro","GSM / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 42, 66","1, 3, 5, 7, 28, 40, 41, 77, 78, 79 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, March 6","Available. Released 2020, March 6","165.2 x 74.4 x 8.8 mm (Ceramic) / 9.5mm (Leather)","217 g (Ceramic) / 200 g (Leather) (7.05 oz)","Glass front (Gorilla Glass 6), cerramic back or leather back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 1B colors","6.7 inches, 111.7 cm (~90.9% screen-to-body ratio)","1440 x 3168 pixels (~513 ppi density)","Corning Gorilla Glass 6","HDR10+  120Hz refresh rate  800 nits max brightness (advertised)","Android 10.0; ColorOS 7.1","Qualcomm SM8250 Snapdragon 865 (7 nm+)","Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)","Adreno 650","No","256GB 12GB RAM, 512GB 12GB RAM","UFS 3.0",,"Dual-LED dual-tone flash, HDR, panorama","2160p@30/60fps, 1080p@30/60fps; gyro-EIS; HDR","32 MP, f/2.4, (wide), 1/2.8"", 0.8µm","HDR","1080p@30fps","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO","Yes","3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4260 mAh battery","Fast charging 65W, 100% in 38 min (advertised)  SuperVOOC 2.0  USB Power Delivery","Black (Ceramic), Orange (Leather), Gray (Leather), Lamborghini Edition","$ 1,239.99",,,"CPH2025",,,"No","IP68 dust/water resistant (up to 1.5m for 30 mins)","48 MP, f/1.7, 25mm (wide), 1/1.43"", 1.12µm, omnidirectional PDAF, Laser AF, OIS  Periscope 13 MP, f/3.0, 129mm (telephoto), 1/3.4"", 1.0µm, 5x optical zoom, PDAF, Laser AF, OIS  48 MP, f/2.2, 17mm (ultrawide), 1/2.0"", 0.8µm, AF","AnTuTu: 593717 (v8)  GeekBench: 13245 (v4.4), 3269 (v5.1)  GFXBench: 25fps (ES 3.1 onscreen)","Contrast ratio: Infinite (nominal)","Photo / Video","-25.2 LUFS (Very good)","Endurance rating 88h",,,,,,,,,,,,
"Oppo","Find X2","GSM / HSPA / LTE / 5G","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 34, 38, 39, 40, 41, 42, 66","1, 3, 5, 7, 28, 41, 77, 78 SA/NSA","HSPA 42.2/5.76 Mbps, LTE-A, 5G","2020, March 6","Available. Released 2020, March 6","164.9 x 74.5 x 8 mm (6.49 x 2.93 x 0.31 in)","209 g (Ceramic) / 192 g (Glass) (6.77 oz)","Glass front (Gorilla Glass 6), cerramic back or glass back, aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 1B colors","6.7 inches, 111.7 cm (~90.9% screen-to-body ratio)","1440 x 3168 pixels (~513 ppi density)","Corning Gorilla Glass 6","HDR10+  120Hz refresh rate  800 nits max brightness (advertised)","Android 10.0; ColorOS 7.1","Qualcomm SM8250 Snapdragon 865 (7 nm+)","Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)","Adreno 650","No","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","UFS 3.0",,"Dual-LED dual-tone flash, HDR, panorama","2160p@30/60fps, 1080p@30/60fps; gyro-EIS; HDR","32 MP, f/2.4, (wide), 1/2.8"", 0.8µm","HDR","1080p@30fps","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE","Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO","Yes","3.1, Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4200 mAh battery","Fast charging 65W, 100% in 38 min (advertised)   SuperVOOC 2.0  USB Power Delivery","Black (Ceramic), Ocean (Glass)","$ 969.99",,,"CPH2023",,,"No","IP54 splash proof","48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF, Laser AF, OIS  13 MP, f/2.4, 52mm (telephoto), optical zoom, PDAF, Laser AF, OIS  12 MP, f/2.2, 16mm (ultrawide), 1/2.4"", AF",,,"Photo / Video","-25.0 LUFS (Very good)",,,,,,,,,,,,,
"Oppo","Watch","HSPA / LTE","N/A","HSDPA 850 / 900 / 2100","1, 3, 5, 8, 38, 39, 40, 41",,"HSPA, LTE","2020, March 6","Available. Released 2020, March 24","46 x 39 x 11.4 mm (1.81 x 1.54 x 0.45 in)","40 g (aluminum) / 45.5 g (stainless steel) (1.41 oz)","Glass front, stainless steel frame or aluminum frame, ceramic/sapphire crystal back or plastic back","eSIM","AMOLED flexible capacitive touchscreen, 16M colors","1.91 inches, 11.6 cm (~64.7% screen-to-body ratio)","402 x 476 pixels (~326 ppi density)",,,"ColorOS Watch OS","Qualcomm MSM8909W Snapdragon Wear 2500 (28nm)","Quad-core 1.2 GHz Cortex-A7","Adreno 304","No","8GB 1GB RAM","eMMC 4.5",,,,,,,"Yes","No","Wi-Fi 802.11 b/g/n","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","Yes","No","Accelerometer, gyro, heart rate, barometer","Non-removable Li-Ion 430 mAh battery","Wireless charging","Silver, Dark Black, Gold, Elegant Black, Pink Gold, Matte Silver","About 190 EUR",,,,,,"No","5ATM water resistant (46mm model)  3ATM water resistant (41mm model)  ECG certified",,,,,,,"No",,,,,,,,,,,
"Oppo","Reno3 Pro","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 2100","1, 3, 5, 8, 38, 40, 41",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, March 2","Available. Released 2020, March 6","158.8 x 73.4 x 8.1 mm (6.25 x 2.89 x 0.32 in)","175 g (6.17 oz)","Glass front (Gorilla Glass 5), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.4 inches, 101.8 cm (~87.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Corning Gorilla Glass 5","500 nits typ. brightness (advertised)  800 nits max brightness (advertised)","Android 10.0; ColorOS 7","Mediatek Helio P95 (12 nm)","Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55)","PowerVR GM9446","microSDXC (dedicated slot)","128GB 8GB RAM, 256GB 8GB RAM","UFS 2.1","64 MP, f/1.7, 27mm (wide), 1/1.72"", 0.8µm, PDAF  13 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, 2x optical zoom  8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm, AF  2 MP B/W, f/2.4, (depth)","Dual-LED flash, HDR, panorama","2160p@30fps, 1080p@30fps; gyro-EIS",,"HDR","1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, BDS",,"Type-C 1.0 reversible connector, USB On-The-Go","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Non-removable Li-Po 4025 mAh battery","Fast charging 30W, 50% in 20 min (advertised)  VOOC 4.0","Auroral Blue, Midnight Black, Sky White","₹ 27,240",,"44 MP, f/2.4, 26mm (wide), 1/2.65"", 0.7µm  2 MP, f/2.4, (depth)","CPH2035",,,,,,"AnTuTu: 165224 (v7), 227810 (v8)  GeekBench: 7028 (v4.4), 1517 (v5.1)  GFXBench: 7.4fps (ES 3.1 onscreen)","Contrast ratio: Infinite (nominal)","Photo / Video","-27.4 LUFS (Good)","Endurance rating 104h",,"1.18 W/kg (head)     1.07 W/kg (body)   �",,,,,,,,,,
"Oppo","A31","GSM / HSPA / LTE","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 900 / 2100","LTE (unspecified)",,"HSPA 42.2/5.76 Mbps, LTE-A","2020, February 13","Available. Released 2020, February 14","163.9 x 75.5 x 8.3 mm (6.45 x 2.97 x 0.33 in)","180 g (6.35 oz)","Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm (~82.4% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"480 nits typ. brightness (advertised)","Android 9.0 (Pie); ColorOS 6.1","Mediatek MT6765V/CB Helio P35 (12nm)","Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)","PowerVR GE8320","microSDXC (dedicated slot)","64GB 4GB RAM, 128GB 4GB RAM","eMMC 5.1",,"LED flash, HDR, panorama","1080p@30fps","8 MP, f/2.0","HDR","1080p@30fps","Yes","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Yes, with A-GPS, BDS",,"microUSB 2.0, USB On-The-Go","Fingerprint (rear-mounted), accelerometer, proximity, compass","Non-removable Li-Po 4230 mAh battery",,"Fantasy White, Mystery Black","₹ 12,490",,,"CPH2015",,,"FM radio",,"12 MP, f/1.8, (wide), PDAF  2 MP, f/2.4, 27mm (macro), 1/5.0"", 1.75µm  2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,,,
